page,url,error,timestamp
210,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/210,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:22:36.708968
225,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/225,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:22:59.102240
224,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/224,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:22:59.103242
226,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/226,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:22:59.103242
223,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/223,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:22:59.118509
221,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/221,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:22:59.118509
229,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/229,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:22:59.146458
238,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/238,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:22:59.162891
235,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/235,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:22:59.164402
228,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/228,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:22:59.164402
231,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/231,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:22:59.164402
240,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/240,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:22:59.178550
237,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/237,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:22:59.178550
